"What will be the percentage increase in the producer price index (PPI) for ""Self-Service Storage and Miniwarehouses"" for December 2022 as compared to December 2021?",2022-03-30T21:00:00Z,2023-01-01T08:01:00Z,"Between 12.0% and 15.0%, inclusive","['Less than 5.0%', 'Between 5.0% and 8.0%, inclusive', 'More than 8.0% but less than 12.0%', 'Between 12.0% and 15.0%, inclusive', 'More than 15.0%']","['Business', 'Economic Indicators']",229,654,40,237,,https://www.gjopen.com/questions/2330-what-will-be-the-percentage-increase-in-the-producer-price-index-ppi-for-self-service-storage-and-miniwarehouses-for-december-2022-as-compared-to-december-2021
105312,2022-12-31T21:14:37Z,2,"[0.0, 10.0, 50.0, 40.0, 0.0]","[0.0, 10.0, 36.0, -43.0, -3.0]"
14603,2022-05-09T10:04:47Z,4,"[0.0, 0.0, 20.0, 60.0, 20.0]","[0.0, -5.0, -10.0, 20.0, -5.0]","I looked up the FY 22 same store revenues growth estimates for the 2 largest providers: Public Storage is estimating 12-15% and Extra Space Storage is estimating 13-15%, this seems to support that bucket, with risk if there is a sharp slowdown."
34959,2022-05-03T14:18:21Z,2,"[1.0, 12.0, 47.0, 35.0, 5.0]","[0.0, 7.0, 14.0, -16.0, -5.0]",
49937,2022-05-02T04:53:07Z,3,"[11.0, 6.0, 33.0, 28.0, 22.0]","[-9.0, 1.0, 3.0, 3.0, 2.0]",Taking the <5% down a bit - it seems we're likely in a recession but I'm not sure if the prices will react that quickly as they seem to lag a bit.
56974,2022-04-27T18:10:42Z,1,"[0.0, 10.0, 80.0, 10.0, 0.0]","[0.0, 10.0, 80.0, 10.0, 0.0]",
691,2022-04-25T20:35:31Z,4,"[0.0, 22.0, 48.0, 30.0, 0.0]","[0.0, 1.0, 0.0, -1.0, 0.0]",
103878,2022-04-19T16:30:24Z,7,"[1.0, 22.0, 43.0, 28.0, 6.0]","[0.0, 10.0, -2.0, -4.0, -4.0]",
105544,2022-04-19T12:17:54Z,1,"[0.0, 19.0, 20.0, 46.0, 15.0]","[0.0, 19.0, 20.0, 46.0, 15.0]",
96828,2022-04-18T20:58:26Z,6,"[18.0, 24.0, 23.0, 23.0, 12.0]","[1.0, 1.0, 0.0, 0.0, -2.0]",
691,2022-04-18T20:41:00Z,3,"[0.0, 21.0, 48.0, 31.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",
101512,2022-04-18T16:02:07Z,1,"[0.0, 67.0, 33.0, 0.0, 0.0]","[0.0, 67.0, 33.0, 0.0, 0.0]",inflation and less space available
49937,2022-04-18T15:10:43Z,2,"[20.0, 5.0, 30.0, 25.0, 20.0]","[-20.0, 0.0, 20.0, 0.0, 0.0]",
103878,2022-04-18T12:19:13Z,6,"[1.0, 12.0, 45.0, 32.0, 10.0]","[0.0, 6.0, 10.0, -10.0, -6.0]",
34815,2022-04-18T10:35:52Z,3,"[0.0, 0.0, 100.0, 0.0, 0.0]","[0.0, 0.0, 100.0, -100.0, 0.0]",
103258,2022-04-16T19:24:32Z,2,"[15.0, 34.0, 41.0, 10.0, 0.0]","[-5.0, 2.0, 3.0, 0.0, 0.0]",
99993,2022-04-16T18:19:24Z,2,"[13.0, 28.0, 43.0, 13.0, 3.0]","[5.0, 3.0, 7.0, -14.0, -1.0]",
67312,2022-04-14T22:38:55Z,2,"[2.0, 21.0, 48.0, 28.0, 1.0]","[-37.0, -27.0, 37.0, 27.0, 0.0]",
103878,2022-04-14T16:24:00Z,5,"[1.0, 6.0, 35.0, 42.0, 16.0]","[-1.0, -5.0, 5.0, 6.0, -5.0]",
84698,2022-04-14T10:44:26Z,1,"[0.0, 0.0, 39.0, 52.0, 9.0]","[0.0, 0.0, 39.0, 52.0, 9.0]",
14603,2022-04-14T07:27:22Z,3,"[0.0, 5.0, 30.0, 40.0, 25.0]","[0.0, 5.0, 0.0, 0.0, -5.0]",
14603,2022-04-14T07:24:04Z,2,"[0.0, 0.0, 30.0, 40.0, 30.0]","[0.0, -35.0, -15.0, 20.0, 30.0]",
94872,2022-04-14T02:07:30Z,5,"[1.0, 5.0, 25.0, 34.0, 35.0]","[-2.0, -3.0, -1.0, -5.0, 11.0]",
34815,2022-04-10T03:50:39Z,2,"[0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, -100.0, 100.0, 0.0]",
89013,2022-04-06T11:56:30Z,1,"[0.0, 100.0, 0.0, 0.0, 0.0]","[0.0, 100.0, 0.0, 0.0, 0.0]",
103258,2022-04-05T22:06:13Z,1,"[20.0, 32.0, 38.0, 10.0, 0.0]","[20.0, 32.0, 38.0, 10.0, 0.0]",
96828,2022-04-05T20:13:04Z,5,"[17.0, 23.0, 23.0, 23.0, 14.0]","[-11.0, -5.0, -1.0, 6.0, 11.0]",
103878,2022-04-05T12:19:09Z,4,"[2.0, 11.0, 30.0, 36.0, 21.0]","[1.0, 1.0, -7.0, 0.0, 5.0]",
94872,2022-04-05T00:07:23Z,4,"[3.0, 8.0, 26.0, 39.0, 24.0]","[0.0, 0.0, -3.0, 0.0, 3.0]",
94872,2022-04-05T00:05:57Z,3,"[3.0, 8.0, 29.0, 39.0, 21.0]","[-2.0, -10.0, 0.0, 1.0, 11.0]",
103878,2022-04-04T10:06:08Z,3,"[1.0, 10.0, 37.0, 36.0, 16.0]","[0.0, -2.0, -10.0, 4.0, 8.0]",
103878,2022-04-04T09:15:20Z,2,"[1.0, 12.0, 47.0, 32.0, 8.0]","[-3.0, -9.0, 3.0, 3.0, 6.0]",
45594,2022-04-03T13:11:21Z,1,"[5.0, 10.0, 40.0, 30.0, 15.0]","[5.0, 10.0, 40.0, 30.0, 15.0]",
34959,2022-04-03T08:57:30Z,1,"[1.0, 5.0, 33.0, 51.0, 10.0]","[1.0, 5.0, 33.0, 51.0, 10.0]",
104025,2022-04-03T03:33:38Z,1,"[0.0, 0.0, 0.0, 50.0, 50.0]","[0.0, 0.0, 0.0, 50.0, 50.0]","Dec21 to Jan22 saw a .5 % increase; Jan22 to Feb22 saw a 1.5% - averaging out - assumes approximately 1% per month - which would put Dec 22 at about 12% increase - however, if the Jan to Feb trajectory remains constant then 15-24% may occur. Right now splitting the difference between those 2"
691,2022-04-01T19:14:36Z,2,"[0.0, 21.0, 48.0, 31.0, 0.0]","[0.0, -9.0, 8.0, 1.0, 0.0]",
37555,2022-04-01T14:55:41Z,1,"[0.0, 0.0, 0.0, 0.0, 100.0]","[0.0, 0.0, 0.0, 0.0, 100.0]",
96828,2022-04-01T10:51:48Z,4,"[28.0, 28.0, 24.0, 17.0, 3.0]","[-14.0, -5.0, 5.0, 12.0, 2.0]",
103878,2022-04-01T10:42:37Z,1,"[4.0, 21.0, 44.0, 29.0, 2.0]","[4.0, 21.0, 44.0, 29.0, 2.0]",
100836,2022-04-01T04:56:16Z,1,"[20.0, 10.0, 20.0, 20.0, 30.0]","[20.0, 10.0, 20.0, 20.0, 30.0]","My whole forecast is based on inflation, and I'm not even looking at changes in demand due to people returning to cities for work. I seem to assign a MUCH higher likelihood of extreme surprise than anyone else though. I expect CPI to break into double digits YoY over the next few months, and that was before neon supplies vanished (for chip production) as well as food/fertilizer/energy shortages. I think we're more likely to see extreme behavior (either accelerating inflation or recession) rather than a continuation of linear trend through 01JAN2023."
49937,2022-04-01T04:09:43Z,1,"[40.0, 5.0, 10.0, 25.0, 20.0]","[40.0, 5.0, 10.0, 25.0, 20.0]","Last year we saw a 13% increase. This figure seems to dip with recessions based on the data from 2020. With the yield curve inversion, there is a decent chance we are mid-recession, but there is also a chance this doesn't hit. Inflation has obviously been high as well. Going a bit polar here since the question has anything below 5% as one option and a decrease is technically possible, making that slice a lot wider in the potential outcomes."
34815,2022-04-01T02:49:06Z,1,"[0.0, 0.0, 100.0, 0.0, 0.0]","[0.0, 0.0, 100.0, 0.0, 0.0]",
102675,2022-03-31T22:06:16Z,1,"[1.0, 9.0, 80.0, 9.0, 1.0]","[1.0, 9.0, 80.0, 9.0, 1.0]",
11430,2022-03-31T18:48:17Z,2,"[0.0, 0.0, 90.0, 10.0, 0.0]","[0.0, 0.0, 10.0, -10.0, 0.0]",
104378,2022-03-31T18:15:57Z,1,"[6.0, 5.0, 29.0, 46.0, 14.0]","[6.0, 5.0, 29.0, 46.0, 14.0]",One theory is that the recent steep rises are largely due to supply chain disruptions. Small to medium sized businesses won't regain faith in the supply chain for a while and will keep bigger inventories of essential supplies.
691,2022-03-31T17:57:49Z,1,"[0.0, 30.0, 40.0, 30.0, 0.0]","[0.0, 30.0, 40.0, 30.0, 0.0]",
99993,2022-03-31T15:51:24Z,1,"[8.0, 25.0, 36.0, 27.0, 4.0]","[8.0, 25.0, 36.0, 27.0, 4.0]",
105368,2022-03-31T14:42:47Z,1,"[0.0, 14.0, 56.0, 24.0, 6.0]","[0.0, 14.0, 56.0, 24.0, 6.0]",
14603,2022-03-31T09:39:47Z,1,"[0.0, 35.0, 45.0, 20.0, 0.0]","[0.0, 35.0, 45.0, 20.0, 0.0]","Currently 14.6% and a 3 month rate of 10.2% (c1.3pt in the index per month). If inflation slows during the year then the 5-8 band is possible, the current rate is the higher band and the 12 month rate the higher band. The rate of increase needs to be above 2pts per month to be in the >15% band, above 1.5 to be in the >12% band, above 1 to be above 8 (below the current run rate). Seems like a general easing of inflation during the year is a current base case (but not one I have huge confidence in) but release of monthly data will allow updated forecasts based on concrete information."
60695,2022-03-31T07:30:47Z,1,"[20.0, 50.0, 30.0, 0.0, 0.0]","[20.0, 50.0, 30.0, 0.0, 0.0]",
96828,2022-03-31T06:52:05Z,3,"[42.0, 33.0, 19.0, 5.0, 1.0]","[-9.0, 7.0, 3.0, -1.0, 0.0]",
94872,2022-03-31T00:58:31Z,2,"[5.0, 18.0, 29.0, 38.0, 10.0]","[0.0, 3.0, -3.0, 0.0, 0.0]",
94872,2022-03-31T00:56:09Z,1,"[5.0, 15.0, 32.0, 38.0, 10.0]","[5.0, 15.0, 32.0, 38.0, 10.0]",
67312,2022-03-31T00:39:23Z,1,"[39.0, 48.0, 11.0, 1.0, 1.0]","[39.0, 48.0, 11.0, 1.0, 1.0]",
105570,2022-03-31T00:09:37Z,1,"[3.0, 15.0, 70.0, 12.0, 0.0]","[3.0, 15.0, 70.0, 12.0, 0.0]",
92079,2022-03-30T23:49:50Z,1,"[0.0, 0.0, 31.0, 69.0, 0.0]","[0.0, 0.0, 31.0, 69.0, 0.0]",
84880,2022-03-30T23:37:00Z,1,"[37.0, 39.0, 20.0, 3.0, 1.0]","[37.0, 39.0, 20.0, 3.0, 1.0]",
105312,2022-03-30T22:47:13Z,1,"[0.0, 0.0, 14.0, 83.0, 3.0]","[0.0, 0.0, 14.0, 83.0, 3.0]","The proxy I have in mind is the cost of home refurbishment and construction. While this segment is also largely impacted by a squeeze in available labor supply (not as many home painters ready to start the job), the cost of their gear, tools, and supplies have also increased at the retail and wholesale levels."
11430,2022-03-30T22:13:05Z,1,"[0.0, 0.0, 80.0, 20.0, 0.0]","[0.0, 0.0, 80.0, 20.0, 0.0]",
96828,2022-03-30T21:43:27Z,2,"[51.0, 26.0, 16.0, 6.0, 1.0]","[5.0, 0.0, -4.0, -1.0, 0.0]",
96828,2022-03-30T21:41:23Z,1,"[46.0, 26.0, 20.0, 7.0, 1.0]","[46.0, 26.0, 20.0, 7.0, 1.0]",
88452,2022-03-30T21:29:20Z,1,"[0.0, 0.0, 4.0, 38.0, 58.0]","[0.0, 0.0, 4.0, 38.0, 58.0]",
