"Before 8 November 2022, will American basketball player Brittney Griner leave Russia?",2022-08-12T17:00:00Z,2022-11-08T08:01:00Z,No,"['Yes', 'No']","['Foreign Policy', 'US Politics', 'Non-US Politics']",451,654,123,237,,https://www.gjopen.com/questions/2512-before-8-november-2022-will-american-basketball-player-brittney-griner-leave-russia
14208,2022-11-08T04:34:26Z,2,[0.0],[-50.0],he’s a real Russian spy he plays ball with Vladimir Putins daughter
106750,2022-09-12T18:16:46Z,1,[50.0],[50.0],
1333,2022-09-12T10:57:59Z,17,[27.0],[-1.0],
86554,2022-09-12T09:05:14Z,3,[2.0],[-1.0],
105622,2022-09-12T03:47:20Z,8,[66.0],[-1.0],
96828,2022-09-11T20:30:04Z,19,[23.0],[-1.0],
86607,2022-09-11T16:03:44Z,13,[19.0],[-6.0],
1333,2022-09-11T13:17:50Z,16,[28.0],[-1.0],
107199,2022-09-11T10:46:13Z,1,[10.0],[10.0],
95992,2022-09-11T01:45:51Z,6,[17.0],[-3.0],Passage of time
107392,2022-09-11T00:29:02Z,1,[0.0],[0.0],
4531,2022-09-09T22:40:18Z,1,[80.0],[80.0],
102121,2022-09-09T20:02:10Z,7,[35.0],[-5.0],
1333,2022-09-09T18:30:37Z,15,[29.0],[-6.0],
1333,2022-09-09T18:30:05Z,14,[35.0],[-4.0],
105622,2022-09-09T15:58:02Z,7,[67.0],[-1.0],
80475,2022-09-09T15:06:14Z,2,[20.0],[-30.0],"The clock is ticking. I still think that when the announcement comes, it will be out of the blue and we may not get any advance indicators that it's about to come. The fact that the US government is still fairly silent about Griner to me speaks volumes about how the negotiations are still ongoing."
87155,2022-09-09T03:46:48Z,1,[10.0],[10.0],
55688,2022-09-09T02:09:19Z,1,[25.0],[25.0],
102121,2022-09-08T16:08:37Z,6,[40.0],[-10.0],
1333,2022-09-08T15:10:27Z,13,[39.0],[-1.0],
96828,2022-09-08T12:17:30Z,18,[24.0],[-9.0],
86554,2022-09-08T08:21:04Z,2,[3.0],[-1.0],
107182,2022-09-08T07:08:47Z,4,[5.0],[-5.0],
107182,2022-09-08T07:08:35Z,3,[10.0],[-30.0],
88452,2022-09-07T15:49:54Z,2,[51.0],[-49.0],
691,2022-09-07T14:15:57Z,4,[15.0],[-7.0],
107297,2022-09-07T07:16:32Z,2,[10.0],[-10.0],"Past prisoner exchanges between US and other states (Russia, Iran, etc.) took several years, usually over 2."
105622,2022-09-07T02:25:01Z,6,[68.0],[-1.0],
89038,2022-09-06T14:04:41Z,1,[16.0],[16.0],"Late to answer as a difficult one, but since I suggested the Q I feel a heavy burden to demonstrate my lack of wisdom ... prisoner exchanges take a long time to organise, Putin won't want to give Biden a gift before mid-terms. In addition, Griner is quite useful (not a low value prisoner as some suggest) for the Russians as it gives leverage, and a reason to have conversations at relatively high diplomatic levels with the US."
102121,2022-09-06T14:02:39Z,5,[50.0],[-10.0],
86607,2022-09-06T13:53:20Z,12,[25.0],[-1.0],
1333,2022-09-06T13:50:41Z,12,[40.0],[-7.0],
102737,2022-09-06T12:55:32Z,2,[30.0],[-12.0],Passage of time.
84880,2022-09-06T00:21:50Z,3,[25.0],[-24.0],
1646,2022-09-05T21:57:22Z,1,[8.0],[8.0],
107297,2022-09-05T05:15:19Z,1,[20.0],[20.0],
102121,2022-09-04T19:52:48Z,4,[60.0],[-10.0],
105622,2022-09-04T18:31:27Z,5,[69.0],[-1.0],
1333,2022-09-04T14:47:23Z,11,[47.0],[-1.0],
106866,2022-09-04T07:14:07Z,2,[2.0],[-1.0],
1333,2022-09-03T07:39:36Z,10,[48.0],[-1.0],
105251,2022-09-02T22:56:28Z,2,[3.0],[-1.0],
105622,2022-09-02T21:21:20Z,4,[70.0],[-2.0],
107247,2022-09-02T19:53:00Z,1,[0.0],[0.0],No chance unless it gets Russia what they want as a bargaining tool. This won't happen until Spring next year
88954,2022-09-02T17:25:48Z,1,[20.0],[20.0],
1333,2022-09-02T08:45:39Z,9,[49.0],[-1.0],
95992,2022-09-01T13:02:20Z,5,[20.0],[-2.0],Passage of time
1333,2022-09-01T12:36:04Z,8,[50.0],[-1.0],
102121,2022-08-31T22:26:18Z,3,[70.0],[-5.0],
96828,2022-08-31T13:43:59Z,17,[33.0],[-3.0],
96828,2022-08-31T08:09:56Z,16,[36.0],[1.0],
96828,2022-08-31T08:09:43Z,15,[35.0],[2.0],
96828,2022-08-31T08:08:08Z,14,[33.0],[3.0],. . . Rationale updated after this forecast update . . .
25601,2022-08-30T20:39:18Z,2,[70.0],[-10.0],
107157,2022-08-29T15:13:01Z,1,[28.0],[28.0],
51942,2022-08-29T14:51:02Z,2,[0.0],[0.0],
691,2022-08-29T14:12:30Z,3,[22.0],[-2.0],
107161,2022-08-29T11:25:50Z,1,[5.0],[5.0],
107182,2022-08-29T08:09:35Z,2,[40.0],[-35.0],
691,2022-08-28T17:17:53Z,2,[24.0],[16.0],
106918,2022-08-28T17:00:49Z,1,[90.0],[90.0],
1333,2022-08-28T14:08:10Z,7,[51.0],[-1.0],
86607,2022-08-28T13:51:40Z,11,[26.0],[-1.0],
107191,2022-08-27T23:40:15Z,1,[10.0],[10.0],
107192,2022-08-27T23:40:06Z,1,[78.0],[78.0],
37555,2022-08-27T15:54:26Z,1,[0.0],[0.0],
106642,2022-08-27T10:47:56Z,4,[55.0],[-10.0],
95992,2022-08-27T02:32:35Z,4,[22.0],[-1.0],Passage of time
107186,2022-08-26T21:35:53Z,1,[50.0],[50.0],
1333,2022-08-26T15:54:27Z,6,[52.0],[1.0],
1333,2022-08-26T13:02:32Z,5,[51.0],[1.0],
107182,2022-08-26T12:53:39Z,1,[75.0],[75.0],
105622,2022-08-25T18:19:22Z,3,[72.0],[10.0],
86607,2022-08-25T16:39:03Z,10,[27.0],[-1.0],
107138,2022-08-25T15:10:10Z,1,[22.0],[22.0],The US announced a negotiation which is a way to get pressure of their back with the public opinion but reduces their leverage against the Russians who know how important this is to the US with an election coming up. I feel the Russians will demand a valuable exchange and this will delay the release of Griner. I'm convinced she will be released eventually but doubt it will be before Nov 8th
105570,2022-08-25T04:03:43Z,1,[17.0],[17.0],
84880,2022-08-25T00:47:08Z,2,[49.0],[-18.0],
1333,2022-08-24T15:52:32Z,4,[50.0],[-1.0],
1333,2022-08-24T10:57:10Z,3,[51.0],[50.0],Reports on line are that Brittany has been determined by Russian Guards - to be a man. NOW the effort to free her will kick into high gear.
86607,2022-08-23T13:41:17Z,9,[28.0],[-1.0],
95992,2022-08-23T11:43:57Z,3,[23.0],[-1.0],Passage of time
20156,2022-08-23T08:26:27Z,2,[43.0],[-40.0],
107148,2022-08-23T02:04:22Z,1,[15.0],[15.0],
106642,2022-08-22T15:12:15Z,3,[65.0],[-3.0],
102121,2022-08-22T14:18:03Z,2,[75.0],[-20.0],
106347,2022-08-22T04:49:59Z,1,[30.0],[30.0],
96828,2022-08-21T11:47:19Z,13,[30.0],[-1.0],
8826,2022-08-20T19:00:15Z,1,[1.0],[1.0],
25601,2022-08-20T18:33:08Z,1,[80.0],[80.0],Thumbsuck
86607,2022-08-20T14:45:47Z,8,[29.0],[-1.0],
96828,2022-08-20T14:19:29Z,12,[31.0],[-1.0],
94587,2022-08-19T18:52:57Z,1,[34.0],[34.0],
106642,2022-08-19T14:13:47Z,2,[68.0],[3.0],
20156,2022-08-19T08:35:31Z,1,[83.0],[83.0],
1333,2022-08-18T18:21:10Z,2,[1.0],[1.0],
86607,2022-08-18T17:43:37Z,7,[30.0],[10.0],
76055,2022-08-18T16:36:48Z,1,[60.0],[60.0],
95992,2022-08-18T12:54:56Z,2,[24.0],[-1.0],Passage of time
96828,2022-08-18T03:36:40Z,11,[32.0],[0.0],"Need clarification on what it means to ""leave"" Russia. It can be interpreted in various ways."
96828,2022-08-18T03:31:05Z,10,[32.0],[-2.0],
34959,2022-08-18T01:02:00Z,1,[7.0],[7.0],
105251,2022-08-17T18:49:16Z,1,[4.0],[4.0],
86607,2022-08-17T16:33:45Z,6,[20.0],[-10.0],
691,2022-08-17T15:01:21Z,1,[8.0],[8.0],
86607,2022-08-17T14:01:59Z,5,[30.0],[-5.0],
96828,2022-08-17T12:12:46Z,9,[34.0],[1.0],"The history of swaps is there, as @alexandemeister brings up [1] and Russia doesn't seem to have denied the possibility that a prisoner exchange will get her out. Perhaps having her in for a while will set a tone that Russia will favor, but after a certain point, releasing her and even better, swapping her for someone else would be in Russia's best interest. I would be fascinated by info pertaining to appeal success rates. I think the fact this is already settled in court makes this unlikely and really pivots on prisoner swaps and such."
106642,2022-08-17T10:56:36Z,1,[65.0],[65.0],Russians seem to be acknowledging as much
56974,2022-08-16T13:32:33Z,1,[60.0],[60.0],
559,2022-08-16T13:08:22Z,1,[5.0],[5.0],Doubtful on that timeline
104025,2022-08-16T12:49:54Z,1,[50.0],[50.0],a successful US-Russia prisoner swap occurred in may 2022 (trevor reed); current proposal is seemingly Viktor Bout (who is currently serving a 25yr sentence) for Griner/Whelen (who has been held since 2018) - the ultimately question will be is Bout worth enough to the Russians to agree with the exchange (since he's been in US custody since 2008); getting it before the midterms could be a boon for the democrates so i could see a heafty push for it
34815,2022-08-16T06:49:19Z,1,[0.0],[0.0],
14628,2022-08-16T02:34:54Z,1,[10.0],[10.0],
95992,2022-08-16T01:38:15Z,1,[25.0],[25.0],"It's hardto form a base rate as there are more news about successful exchanges than failures, but in this interesting NYT article you can see a remarkable pattern of prisoner swaps being done in the lead up to mid-term elections: https://www.nytimes.com/2022/07/28/world/europe/prisoner-swaps-exchanges-us.html"
2952,2022-08-16T01:01:11Z,1,[0.0],[0.0],
97529,2022-08-15T19:00:53Z,1,[2.0],[2.0],
3316,2022-08-15T18:27:04Z,1,[100.0],[100.0],
86607,2022-08-15T13:23:52Z,4,[35.0],[15.0],
100664,2022-08-15T12:58:23Z,1,[35.0],[35.0],
96828,2022-08-15T10:09:30Z,8,[33.0],[3.0],
107093,2022-08-15T09:43:46Z,2,[15.0],[3.0],From NYT 15.08.2022
75794,2022-08-15T09:28:09Z,1,[20.0],[20.0],
87571,2022-08-15T07:35:33Z,1,[5.0],[5.0],
51942,2022-08-15T04:33:39Z,1,[0.0],[0.0],Russia is going to expand the invasion in Ukraine once the ground starts freezing up. Leading to more sanctions and will use Brittney as a bargaining chip
86607,2022-08-14T21:56:30Z,3,[20.0],[-8.0],
80475,2022-08-14T13:44:18Z,1,[50.0],[50.0],The silence on the part of the US government lately indicates to me that negotiations are very much ongoing. So I think this is a definite possibility.
45594,2022-08-14T08:46:54Z,1,[5.0],[5.0],
92079,2022-08-13T23:49:53Z,1,[11.0],[11.0],
107093,2022-08-13T20:01:32Z,1,[12.0],[12.0],"Previous releases of ""hostages"" such as Trevor Reed took years to happen. Paul Whelan is already in Russian custody since 2018. Griner is such a public figure and a civilian, making this a high value detainee. Releasing her before US midterms would hand Democrats a win, which are more inconvenient to Putin than Republicans. Also due to war in Ukraine, Russia will want significant concessions and I think US might not be ready to give them up yet. All in all, this looks like against a speedy resolution of the problem."
9263,2022-08-13T18:01:52Z,1,[0.0],[0.0],
103258,2022-08-13T17:36:34Z,2,[18.0],[6.0],
67500,2022-08-13T17:31:23Z,1,[70.0],[70.0],"Russian optimism bodes well (https://www.bloomberg.com/news/articles/2022-08-13/russia-optimistic-on-us-prisoner-swap-including-wnba-star-griner#xj4y7vzkg) for a deal but timing is difficult to predict, even if a deal is reached it could take weeks/month for Griner to physically leave Russia."
88452,2022-08-13T14:25:57Z,1,[100.0],[100.0],"bloomberg reports, Russian Diplomats ""optimistic"" about possible prisoner trade/exchange including Griner."
105622,2022-08-13T06:27:01Z,2,[62.0],[-33.0],"Coming way down after reading more details and thinking a bit more. The US has proposed a two-for-one deal, but the Russians want one-for-one and, in particular, their assassin, in exchange, presumably, for our ""spy"" (Whelan was convicted of espionage in Russia). Had the US asked only for Griner in exchange for Bout, I would stay at (0.95). Had the US offered (and could deliver) Krasikov for Whelan in addition to Griner for Bout, I might go higher (0.99). Krasikov appears to be high value."
107071,2022-08-13T02:18:00Z,1,[40.0],[40.0],"Despite the current conflict, both countries want to negotiate for the release of their citizens. In addition, I believe that a certain level of diplomatic relations between the two countries has to exist for such an outcome."
767,2022-08-13T02:13:20Z,1,[10.0],[10.0],
96828,2022-08-13T01:46:32Z,7,[30.0],[0.0],"Let's say virtually 0% of inmates sentenced by a jury in Russia comes out in just 3 months. Okay, now let's add the possible prisoner exchange hypothesis. Let's assume that, I don't know, 43% of these negotiations result in a successful swap where said prisoner is released. Let's say on average, this will take 3 months. Oh perfect! It's the time period of the question's open period. So I assume half the time it will fall short of 3 months, half the time it will be after 3 months. So therefore, 22% is a good anchor and passes my gut check. I increase to 30% because @Anneinak, @alh, and @zwoods remain relatively bullish on YES."
96828,2022-08-13T01:43:05Z,6,[30.0],[-3.0],
96828,2022-08-13T00:55:21Z,5,[33.0],[1.0],
100273,2022-08-13T00:51:00Z,1,[2.0],[2.0],Putin likes her humor.
96828,2022-08-13T00:10:08Z,4,[32.0],[1.0],
96828,2022-08-13T00:09:27Z,3,[31.0],[8.0],
84880,2022-08-12T23:48:29Z,1,[67.0],[67.0],
96828,2022-08-12T22:45:19Z,2,[23.0],[-1.0],
96828,2022-08-12T22:45:12Z,1,[24.0],[24.0],
102121,2022-08-12T21:04:40Z,1,[95.0],[95.0],"Starting quite high. The question has a short timeframe but it does include the midterms, which will be a significant event in Biden's tenure. From a public point of view, it seems obvious that Griner's sentence makes no sense, regardless of Russian laws that I don't think the American public will be concerned within this case. Getting a prisoner back with a public profile back from Russia would obviously play well ahead of the mid terms. (The same might be true for Russian diplomats who could get a Russian politicl prisoner back.) There's some noise about ongoing discussions as well (https://www.democracynow.org/2022/8/12/headlines/russia_says_its_negotiating_prisoner_swap_with_us_for_brittney_griner_and_paul_whelan ), so it just remains to be seen if a deal can be found quickly enough."
86554,2022-08-12T20:26:41Z,1,[4.0],[4.0],
1333,2022-08-12T20:23:03Z,1,[0.0],[0.0],Until its Chromosome test comes back - no one will care. AND nothing will happen till after mid terms.
103258,2022-08-12T19:53:26Z,1,[12.0],[12.0],
94737,2022-08-12T19:33:21Z,1,[100.0],[100.0],
102737,2022-08-12T19:02:43Z,1,[42.0],[42.0],"Initial, highly subjective forecast. Timeframe is quite short for this Question, with significant impact on probability assessed."
106866,2022-08-12T18:55:10Z,1,[3.0],[3.0],Brittney Griner is a low value prisoner. She has been in prison for over 5 month now and it's only 3 month left till November.
105622,2022-08-12T18:53:19Z,1,[95.0],[95.0],"Initial forecast. I am this high because it appears that a mechanism has been discovered for freeing prisoners in Russia. A prisoner swap in April of this year was negotiated. I would consider the length of time as the difficulty in finding what would work as well as the reluctance to trade actual criminals for those convicted by a Russian court. Given the coverage she has been getting, I think she will be freed soon."
86607,2022-08-12T18:21:43Z,2,[28.0],[-22.0],"Looking deeper - she has already been there over 5 months, and there are only 3 months left in the question period. But given Blinken himself is talking publicly about it, seems like she is pretty high priority"
79591,2022-08-12T17:58:47Z,1,[0.0],[0.0],"I may regret even playing this one, but I'm going to go with zero chance. Brittney is a very low value prisoner and hasn't been there long enough compared to others we would like to bring home. Russia will make us squirm longer."
37236,2022-08-12T17:55:33Z,1,[0.0],[0.0],"The Ukraine war has little to nothing do with the possibility of Griner being released before 8 Nov 22, which is Election Day in US. It's also unlikely to help the Dems, or her friends and family. In the ""spy trade"" bidness, Brittney Griner has no value. The man called Victor Bout has a lot. But balance that value with possibility that some influencers in the Russian intelligence establishment and a few Lubyanka old timers were never very pleased with Bout's freelancer style and are more than happy to see Uncle Sam continue to pick up the bill. Another possibility she will not leave before the date mentioned is that some in the Russian sports establishment would like to see how she responds physically and mentally to the living in a tough ""Camp"" environment. Griner fans don't have the ""handgeld"" that Ghislaine Maxwell's family does so it is more difficult for her crowd to pay a lawyer in Russian Federation to arrange for her to live in a ""country club"" jail."
86607,2022-08-12T17:17:53Z,1,[50.0],[50.0],
