Who will win the 2022 presidential election in Brazil?,2021-12-03T18:00:00Z,2022-10-30T07:01:00Z,Luiz Inácio Lula da Silva,"['Jair Bolsonaro', 'João Doria', 'Ciro Gomes', 'Sérgio Moro', 'Luiz Inácio Lula da Silva', 'Another candidate']","['Leader Entry/Exit', 'Elections and Referenda', 'Non-US Politics']",668,654,187,237,,https://www.gjopen.com/questions/2207-who-will-win-the-2022-presidential-election-in-brazil
86367,2022-10-30T05:45:55Z,9,"[27.0, 0.0, 0.0, 0.0, 73.0, 0.0]","[10.0, 0.0, 0.0, 0.0, -10.0, 0.0]"
691,2022-10-12T16:13:41Z,15,"[13.0, 0.0, 0.0, 0.0, 87.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
107265,2022-10-12T15:09:48Z,2,"[9.0, 0.0, 0.0, 0.0, 91.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
1333,2022-10-12T15:08:00Z,72,"[42.0, 0.0, 0.0, 0.0, 58.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
107245,2022-10-12T15:06:55Z,2,"[5.0, 0.0, 0.0, 0.0, 95.0, 0.0]","[-5.0, 0.0, 0.0, 0.0, 5.0, 0.0]",
107351,2022-10-12T14:12:30Z,1,"[26.0, 0.0, 0.0, 0.0, 74.0, 0.0]","[26.0, 0.0, 0.0, 0.0, 74.0, 0.0]",
102243,2022-10-12T12:54:50Z,19,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
67403,2022-10-12T08:25:29Z,3,"[49.0, 0.0, 0.0, 0.0, 51.0, 0.0]","[9.0, 0.0, 0.0, 0.0, -9.0, 0.0]",
100653,2022-10-12T06:21:57Z,39,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
107277,2022-10-12T02:24:54Z,2,"[33.0, 0.0, 0.0, 0.0, 67.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]","I am surprised by how much support has gone to Bolsonaro. I still think that Lula will win, but I am not confident."
81456,2022-10-11T20:31:52Z,17,"[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
107718,2022-10-11T14:20:47Z,2,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[10.0, 0.0, 0.0, 0.0, -10.0, 0.0]",
94837,2022-10-11T03:57:28Z,11,"[8.0, 0.0, 0.0, 0.0, 92.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
107266,2022-10-10T19:39:35Z,1,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]",
57127,2022-10-10T19:36:23Z,2,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[-48.0, 0.0, 0.0, 0.0, 70.0, -22.0]",
94872,2022-10-10T17:33:01Z,36,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
87991,2022-10-10T17:06:58Z,2,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",
107245,2022-10-10T15:20:56Z,1,"[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]","[10.0, 0.0, 0.0, 0.0, 90.0, 0.0]",
1333,2022-10-10T14:24:35Z,71,"[41.0, 0.0, 0.0, 0.0, 59.0, 0.0]","[11.0, 0.0, 0.0, 0.0, -11.0, 0.0]",
34350,2022-10-10T13:09:47Z,1,"[60.0, 0.0, 0.0, 0.0, 40.0, 0.0]","[60.0, 0.0, 0.0, 0.0, 40.0, 0.0]","In spite of being second place at 1st round, incumbent president Bolsonaro's voters are more engaged, and more likely to convince the huge base of non voters or blank/null voters at 1st round to change and support Bolsonaro at the 2nd round. I acknowledge, however, the uncertainty is great for this election."
81456,2022-10-10T01:29:14Z,16,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
107093,2022-10-09T21:34:04Z,6,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[-5.0, 0.0, 0.0, 0.0, 5.0, 0.0]",The first round confirmed the good lead for lulla and the polls also improved
81456,2022-10-08T21:17:26Z,15,"[22.0, 0.0, 0.0, 0.0, 78.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
87991,2022-10-08T19:54:35Z,1,"[21.0, 0.0, 0.0, 0.0, 79.0, 0.0]","[21.0, 0.0, 0.0, 0.0, 79.0, 0.0]",Reasoning
102243,2022-10-07T23:21:01Z,18,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[5.0, 0.0, 0.0, 0.0, -5.0, 0.0]",
81456,2022-10-07T22:32:39Z,14,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
107277,2022-10-07T13:54:37Z,1,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","Lula was less than 2% away from winning it all in the first round, he was surging late in the race, and I believe that the voters for the other candidates are more likely to vote for Lula than the incumbent Bolsonaro. All the same, I am wary of the possibility of conservative populist candidates over performing, as Bolsonaro has already proved he can, and there is the chance that he could cheat."
89038,2022-10-07T13:36:00Z,1,"[8.0, 0.0, 0.0, 0.0, 92.0, 0.0]","[8.0, 0.0, 0.0, 0.0, 92.0, 0.0]","Outperformed in R1, but how is there a path for Bolsanaro? Lula was 1.6% off, Bolsanaro needs to take alot of Lula votes and win a big majority of minority candidates vote (who have come out for Lula and are mainly Anti-Bolsanaro)."
691,2022-10-07T12:30:40Z,14,"[15.0, 0.0, 0.0, 0.0, 85.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","A few decades ago, the Louisiana governor runoff involved Edwin Edwards, who had been a corrupt but not ineffective governor, and David Duke, who had been a nasty high-ranking official in the Klan. A bumper sticker emerged that said, ""Vote for the crook. It's important."" Brazil could use that about now. Stay tuned."
81431,2022-10-07T07:43:57Z,6,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
81456,2022-10-07T02:41:13Z,13,"[22.0, 0.0, 0.0, 0.0, 78.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
99780,2022-10-06T06:10:03Z,13,"[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]","[-9.0, 0.0, 0.0, 0.0, 9.0, 0.0]",
81456,2022-10-05T20:15:17Z,12,"[21.0, 0.0, 0.0, 0.0, 79.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
107264,2022-10-05T13:34:57Z,1,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","Polling has already taken place, with only runoff elections occurring if necessary."
104209,2022-10-05T13:11:27Z,8,"[45.0, 0.0, 0.0, 0.0, 55.0, 0.0]","[45.0, 0.0, 0.0, 0.0, -45.0, 0.0]",
101542,2022-10-05T12:54:40Z,12,"[35.0, 0.0, 0.0, 0.0, 65.0, 0.0]","[5.0, 0.0, 0.0, 0.0, -5.0, 0.0]",
1333,2022-10-05T07:04:20Z,70,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[9.0, 0.0, 0.0, 0.0, -9.0, 0.0]",
106866,2022-10-05T06:05:27Z,7,"[43.0, 0.0, 0.0, 0.0, 57.0, 0.0]","[-4.0, 0.0, 0.0, 0.0, 4.0, 0.0]",Still belive it will be close. Bolsonaro had a Trump-effect in the first round. Strong performance from the right wing in the first vote. Much stronger than forecasted by the pros. Bolsonaros core demographic voters are likely to vote in the secound round too.
691,2022-10-04T16:31:03Z,13,"[16.0, 0.0, 0.0, 0.0, 84.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",
107272,2022-10-04T15:20:46Z,1,"[12.0, 0.0, 0.0, 0.0, 88.0, 0.0]","[12.0, 0.0, 0.0, 0.0, 88.0, 0.0]",
107274,2022-10-04T14:16:34Z,1,"[13.0, 0.0, 0.0, 0.0, 87.0, 0.0]","[13.0, 0.0, 0.0, 0.0, 87.0, 0.0]","Bolsonaro has been a polarizing figure both within and outside of Brazil. Silva has already had great success in previous runs as he was already president of Brazil at one point, and is now running for his third term. With his cultivated personality of fairness and ambition, it is likely that Silva will be a breath of fresh air for many Brazilians, especially given Bolsonaro's infamously poor record around civil rights and medical care around other issues. Bolsonaro's motivated base will most likely not be enough to achieve victory this time."
1333,2022-10-04T11:32:51Z,69,"[21.0, 0.0, 0.0, 0.0, 79.0, 0.0]","[10.0, 0.0, 0.0, 0.0, -10.0, 0.0]",
86367,2022-10-04T10:24:01Z,8,"[17.0, 0.0, 0.0, 0.0, 83.0, 0.0]","[-4.0, 0.0, 0.0, 0.0, 4.0, 0.0]",
1333,2022-10-04T04:30:15Z,68,"[11.0, 0.0, 0.0, 0.0, 89.0, 0.0]","[11.0, 0.0, 0.0, 0.0, -11.0, 0.0]",
94872,2022-10-04T00:35:42Z,35,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]",
86607,2022-10-03T21:48:57Z,12,"[21.0, 0.0, 0.0, 0.0, 79.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]"
37236,2022-10-03T16:13:37Z,12,"[38.0, 0.0, 0.0, 0.0, 62.0, 0.0]","[20.0, 0.0, 0.0, 0.0, -20.0, 0.0]","Should Lula win, thanks to votes from the impoverished north, it will be tough to govern since several members of his government have won seats in the lower house, and the senate, where Workers Party has done poorly. Bolsonaro was the vote count winner in Sao Paulo state, and Rio de Janeiro state."
107265,2022-10-03T15:13:55Z,1,"[9.0, 0.0, 0.0, 0.0, 91.0, 0.0]","[9.0, 0.0, 0.0, 0.0, 91.0, 0.0]",
107346,2022-10-03T15:11:27Z,1,"[15.0, 0.0, 0.0, 0.0, 85.0, 0.0]","[15.0, 0.0, 0.0, 0.0, 85.0, 0.0]",
38577,2022-10-03T15:07:23Z,5,"[16.0, 0.0, 0.0, 0.0, 84.0, 0.0]","[16.0, 0.0, 0.0, 0.0, -16.0, 0.0]",
107356,2022-10-03T14:26:08Z,1,"[13.0, 7.0, 5.0, 0.0, 75.0, 0.0]","[13.0, 7.0, 5.0, 0.0, 75.0, 0.0]",
99780,2022-10-03T14:17:44Z,12,"[33.0, 0.0, 0.0, 0.0, 67.0, 0.0]","[13.0, 0.0, 0.0, 0.0, -13.0, 0.0]",
107294,2022-10-03T14:14:53Z,3,"[14.0, 0.0, 0.0, 0.0, 86.0, 0.0]","[-24.0, 0.0, 0.0, 0.0, 24.0, 0.0]",
107294,2022-10-03T14:14:27Z,2,"[38.0, 0.0, 0.0, 0.0, 62.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
79889,2022-10-03T10:50:22Z,1,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]",
125,2022-10-03T10:34:04Z,5,"[13.0, 0.0, 0.0, 0.0, 87.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
88452,2022-10-03T10:15:51Z,5,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]",
102995,2022-10-03T01:30:02Z,2,"[48.0, 0.0, 0.0, 0.0, 52.0, 0.0]","[-4.0, 0.0, 0.0, 0.0, 4.0, 0.0]",
104218,2022-10-02T23:39:26Z,8,"[42.0, 0.0, 0.0, 0.0, 58.0, 0.0]","[24.0, 0.0, 0.0, 0.0, -24.0, 0.0]",
102995,2022-10-02T20:51:37Z,1,"[52.0, 0.0, 0.0, 0.0, 48.0, 0.0]","[52.0, 0.0, 0.0, 0.0, 48.0, 0.0]",
102243,2022-10-02T20:24:12Z,17,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",
107718,2022-10-02T20:07:42Z,1,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]",
74903,2022-10-02T14:35:14Z,3,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 15.0, -15.0]",
87177,2022-10-02T04:41:03Z,7,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 2.0, -1.0]",
81456,2022-10-02T01:41:43Z,11,"[22.0, 0.0, 0.0, 0.0, 78.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
102243,2022-10-01T18:58:00Z,16,"[16.0, 0.0, 0.0, 0.0, 84.0, 0.0]","[-7.0, 0.0, 0.0, 0.0, 8.0, -1.0]",
81456,2022-09-30T22:18:00Z,10,"[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
100267,2022-09-30T17:25:39Z,1,"[5.0, 0.0, 0.0, 0.0, 95.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 95.0, 0.0]","To me it is very clear that Lula will win the election. Whether it'll be 1st or 2nd round is the real question at this point - and I think even Bolsonaro's campaign recognizes that, in that they're trying to prevent a 1st round decision to draw out the elections."
106866,2022-09-30T14:58:13Z,6,"[47.0, 0.0, 0.0, 0.0, 53.0, 0.0]","[3.0, 0.0, 0.0, 0.0, -3.0, 0.0]","Still belive it will be very, very close. Bolsonaro could have a Trump-effect. His core demographic voters are unlikely to participate in test polls."
14469,2022-09-30T14:41:33Z,1,"[20.0, 0.0, 1.0, 0.0, 75.0, 4.0]","[20.0, 0.0, 1.0, 0.0, 75.0, 4.0]",
81431,2022-09-30T08:41:51Z,5,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
37236,2022-09-29T18:52:06Z,11,"[18.0, 0.0, 0.0, 0.0, 82.0, 0.0]","[-5.0, 0.0, 0.0, 0.0, 5.0, 0.0]",
38577,2022-09-29T06:24:34Z,4,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
107330,2022-09-28T22:25:47Z,1,"[16.0, 0.0, 0.0, 0.0, 84.0, 0.0]","[16.0, 0.0, 0.0, 0.0, 84.0, 0.0]",
81456,2022-09-28T19:16:52Z,9,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
86607,2022-09-28T14:27:04Z,11,"[17.0, 0.0, 0.0, 0.0, 83.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
99943,2022-09-27T23:22:13Z,2,"[13.0, 0.0, 0.0, 0.0, 87.0, 0.0]","[-7.0, 0.0, 0.0, 0.0, 7.0, 0.0]",
1333,2022-09-27T16:55:47Z,67,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
104209,2022-09-27T13:26:11Z,7,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[-20.0, 0.0, 0.0, 0.0, 20.0, 0.0]",
94872,2022-09-27T04:25:58Z,34,"[17.0, 0.0, 0.0, 0.0, 83.0, 0.0]","[-3.0, 0.0, 0.0, 0.0, 3.0, 0.0]",
81456,2022-09-27T00:16:30Z,8,"[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
107369,2022-09-26T21:57:03Z,1,"[33.0, 3.0, 7.0, 2.0, 47.0, 8.0]","[33.0, 3.0, 7.0, 2.0, 47.0, 8.0]","For this weeks forecast, I predict that former president Luiz Inácio da Silva ""Lula"" (2003-2010) will win Brazil's 2022 presidential election."
597,2022-09-26T14:05:56Z,1,"[13.0, 1.0, 1.0, 1.0, 83.0, 1.0]","[13.0, 1.0, 1.0, 1.0, 83.0, 1.0]",
62808,2022-09-25T18:06:46Z,9,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
102047,2022-09-25T13:42:30Z,6,"[1.0, 0.0, 0.0, 0.0, 99.0, 0.0]","[-4.0, 0.0, 0.0, 0.0, 4.0, 0.0]",
105209,2022-09-24T21:44:51Z,4,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[-6.0, 0.0, 0.0, 0.0, 6.0, 0.0]",
106866,2022-09-24T16:47:34Z,5,"[44.0, 0.0, 0.0, 0.0, 56.0, 0.0]","[-5.0, 0.0, 0.0, 0.0, 5.0, 0.0]",Lula gaind in the last datapoll. But Bolsonaro is still in the game. His disprovement rate drops due to latest actions agianst inflation.
102243,2022-09-24T13:22:24Z,15,"[23.0, 0.0, 0.0, 0.0, 76.0, 1.0]","[-1.0, 0.0, 0.0, 0.0, 2.0, -1.0]",
81431,2022-09-24T13:19:02Z,4,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
81456,2022-09-24T00:55:53Z,7,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
92236,2022-09-24T00:07:05Z,4,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[11.0, 0.0, 0.0, 0.0, -11.0, 0.0]",
38577,2022-09-22T23:10:16Z,3,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
81456,2022-09-22T22:26:22Z,6,"[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
125,2022-09-22T14:08:58Z,4,"[15.0, 0.0, 0.0, 0.0, 85.0, 0.0]","[-10.0, 0.0, 0.0, 0.0, 10.0, 0.0]",
81456,2022-09-21T21:36:26Z,5,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
86367,2022-09-21T04:59:41Z,7,"[21.0, 0.0, 0.0, 0.0, 79.0, 0.0]","[9.0, 0.0, 0.0, 0.0, -9.0, 0.0]",
94872,2022-09-21T02:44:29Z,33,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[-3.0, 0.0, 0.0, 0.0, 3.0, 0.0]",
81456,2022-09-20T21:42:22Z,4,"[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
125,2022-09-20T14:59:56Z,3,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[-5.0, 0.0, 0.0, 0.0, 5.0, 0.0]",
100653,2022-09-20T06:31:37Z,38,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
86607,2022-09-19T17:42:26Z,10,"[19.0, 0.0, 0.0, 0.0, 81.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",
1333,2022-09-19T15:23:45Z,66,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
104209,2022-09-19T13:33:53Z,6,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[20.0, 0.0, 0.0, 0.0, -20.0, 0.0]",
101542,2022-09-19T12:30:31Z,11,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
81456,2022-09-18T22:06:14Z,3,"[26.0, 0.0, 0.0, 0.0, 74.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
104218,2022-09-18T16:47:16Z,7,"[18.0, 0.0, 0.0, 0.0, 82.0, 0.0]","[6.0, 0.0, 0.0, 0.0, -6.0, 0.0]",
81431,2022-09-18T13:54:59Z,3,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
125,2022-09-18T10:01:55Z,2,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[-10.0, 0.0, 0.0, 0.0, 10.0, 0.0]",
107294,2022-09-16T19:05:25Z,1,"[38.0, 0.0, 0.0, 0.0, 62.0, 0.0]","[38.0, 0.0, 0.0, 0.0, 62.0, 0.0]",
106866,2022-09-16T08:12:30Z,4,"[49.0, 0.0, 0.0, 0.0, 51.0, 0.0]","[-3.0, 0.0, 0.0, 0.0, 3.0, 0.0]"
94837,2022-09-16T05:42:06Z,10,"[5.0, 0.0, 0.0, 0.0, 95.0, 0.0]","[-3.0, 0.0, 0.0, 0.0, 3.0, 0.0]",
125,2022-09-16T05:32:29Z,1,"[40.0, 0.0, 0.0, 0.0, 60.0, 0.0]","[40.0, 0.0, 0.0, 0.0, 60.0, 0.0]",
81456,2022-09-16T00:15:05Z,2,"[27.0, 0.0, 0.0, 0.0, 73.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",
107093,2022-09-15T12:35:07Z,5,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[6.0, 0.0, 0.0, 0.0, -6.0, 0.0]",The polls show a narrowing difference between the top two candidates so i am adjusting the forecast.
691,2022-09-14T12:21:57Z,12,"[14.0, 0.0, 0.0, 0.0, 86.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
62808,2022-09-13T13:54:51Z,8,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
81456,2022-09-13T00:22:29Z,1,"[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]","[25.0, 0.0, 0.0, 0.0, 75.0, 0.0]",
101542,2022-09-12T12:52:08Z,10,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
1333,2022-09-12T10:02:45Z,65,"[2.0, 0.0, 0.0, 0.0, 98.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
100653,2022-09-12T08:24:04Z,37,"[19.0, 0.0, 0.0, 0.0, 81.0, 0.0]","[-3.0, 0.0, 0.0, 0.0, 3.0, 0.0]",
99943,2022-09-12T03:21:43Z,1,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","Based on polls. The gap between Lula and Bolsonaro is closing, but Lula is still in the lead."
81431,2022-09-11T08:40:22Z,2,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
94837,2022-09-11T07:58:30Z,9,"[8.0, 0.0, 0.0, 0.0, 92.0, 0.0]","[-3.0, 0.0, 0.0, 0.0, 3.0, 0.0]",
107392,2022-09-11T05:50:58Z,1,"[45.0, 0.0, 0.0, 0.0, 55.0, 0.0]","[45.0, 0.0, 0.0, 0.0, 55.0, 0.0]",
4531,2022-09-10T20:10:55Z,1,"[4.0, 69.0, 1.0, 6.0, 17.0, 3.0]","[4.0, 69.0, 1.0, 6.0, 17.0, 3.0]",
99780,2022-09-10T03:48:32Z,11,"[20.0, 0.0, 0.0, 0.0, 80.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
105209,2022-09-08T16:10:12Z,3,"[6.0, 0.0, 0.0, 0.0, 94.0, 0.0]","[-3.0, 0.0, 0.0, 0.0, 3.0, 0.0]",
38577,2022-09-08T13:33:20Z,2,"[1.0, 0.0, 0.0, 0.0, 99.0, 0.0]","[-4.0, 0.0, 0.0, 0.0, 4.0, 0.0]",
107093,2022-09-07T16:18:21Z,4,"[24.0, 0.0, 0.0, 0.0, 76.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",
94872,2022-09-07T01:57:26Z,32,"[23.0, 0.0, 0.0, 0.0, 77.0, 0.0]","[-3.0, 0.0, 0.0, 0.0, 3.0, 0.0]",
105209,2022-09-06T18:59:54Z,2,"[9.0, 0.0, 0.0, 0.0, 91.0, 0.0]","[-4.0, 0.0, 0.0, 0.0, 4.0, 0.0]",
691,2022-09-06T13:56:38Z,11,"[16.0, 0.0, 0.0, 0.0, 84.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",
1333,2022-09-05T13:24:20Z,64,"[1.0, 0.0, 0.0, 0.0, 99.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
100653,2022-09-01T14:07:48Z,36,"[22.0, 0.0, 0.0, 0.0, 78.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",
107236,2022-09-01T12:16:49Z,1,"[52.0, 0.0, 7.0, 0.0, 41.0, 0.0]","[52.0, 0.0, 7.0, 0.0, 41.0, 0.0]",
107223,2022-09-01T11:40:14Z,1,"[25.0, 0.0, 2.0, 0.0, 72.0, 1.0]","[25.0, 0.0, 2.0, 0.0, 72.0, 1.0]",
102047,2022-09-01T04:59:59Z,5,"[5.0, 0.0, 0.0, 0.0, 95.0, 0.0]","[-2.0, 0.0, 0.0, 0.0, 2.0, 0.0]",
101542,2022-08-30T14:01:00Z,9,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[10.0, 0.0, 0.0, 0.0, -10.0, 0.0]",
522,2022-08-30T07:52:22Z,2,"[30.0, 0.0, 0.0, 0.0, 70.0, 0.0]","[-20.0, 0.0, 0.0, 0.0, 20.0, 0.0]",
38577,2022-08-29T22:13:04Z,1,"[5.0, 0.0, 0.0, 0.0, 95.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 95.0, 0.0]",
107093,2022-08-29T14:18:45Z,3,"[22.0, 0.0, 0.0, 0.0, 78.0, 0.0]","[2.0, 0.0, 0.0, 0.0, -2.0, 0.0]",Bolsonaro went up a bit in the polls. https://www.as-coa.org/articles/poll-tracker-brazils-2022-presidential-election
81431,2022-08-29T13:55:35Z,1,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]",
99993,2022-08-28T13:56:37Z,12,"[15.0, 0.0, 0.0, 0.0, 85.0, 0.0]","[-4.0, 0.0, -1.0, 0.0, 5.0, 0.0]",
70711,2022-08-27T12:21:34Z,2,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[-18.0, 0.0, 0.0, 0.0, 18.0, 0.0]",
94872,2022-08-27T02:06:52Z,31,"[26.0, 0.0, 0.0, 0.0, 74.0, 0.0]","[6.0, 0.0, 0.0, 0.0, -6.0, 0.0]",
62808,2022-08-25T20:23:26Z,7,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
94737,2022-08-25T16:25:46Z,3,"[100.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 0.0, 0.0, 0.0, -100.0, 0.0]",
94737,2022-08-25T05:32:08Z,2,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0]","[-20.0, 0.0, 0.0, 0.0, 20.0, 0.0]",
